county,state,fips
Baldwin,AL,1003
Clarke,AL,1025
Covington,AL,1039
Escambia,AL,1053
Geneva,AL,1061
Mobile,AL,1097
Monroe,AL,1099
Washington,AL,1129
Fairfield,CT,9001
Hartford,CT,9003
Litchfield,CT,9005
Middlesex,CT,9007
New Haven,CT,9009
New London,CT,9011
Tolland,CT,9013
Windham,CT,9015
District of Columbia,DC,11001
Kent,DE,10001
New Castle,DE,10003
Sussex,DE,10005
Bay,FL,12005
Calhoun,FL,12013
Charlotte,FL,12015
Citrus,FL,12017
Collier,FL,12021
De Soto,FL,12027
Dixie,FL,12029
Escambia,FL,12033
Franklin,FL,12037
Gadsden,FL,12039
Gilchrist,FL,12041
Glades,FL,12043
Gulf,FL,12045
Hardee,FL,12049
Hernando,FL,12053
Hillsborough,FL,12057
Holmes,FL,12059
Jackson,FL,12063
Jefferson,FL,12065
Lafayette,FL,12067
Lee,FL,12071
Leon,FL,12073
Levy,FL,12075
Liberty,FL,12077
Madison,FL,12079
Manatee,FL,12081
Marion,FL,12083
Monroe,FL,12087
Okaloosa,FL,12091
Pasco,FL,12101
Pinellas,FL,12103
Polk,FL,12105
Santa Rosa,FL,12113
Sarasota,FL,12115
Sumter,FL,12119
Suwannee,FL,12121
Osceola,FL,12097
Palm Beach,FL,12099
Putnam,FL,12107
St. Johns,FL,12109
St. Lucie,FL,12111
Seminole,FL,12117
Volusia,FL,12127
Appling,GA,13001
Atkinson,GA,13003
Bacon,GA,13005
Brantley,GA,13025
Bryan,GA,13029
Bulloch,GA,13031
Camden,GA,13039
Charlton,GA,13049
Chatham,GA,13051
Coffee,GA,13069
Effingham,GA,13103
Glynn,GA,13127
Irwin,GA,13155
Jeff Davis,GA,13161
Jenkins,GA,13165
Liberty,GA,13179
Long,GA,13183
McIntosh,GA,13191
Montgomery,GA,13209
Pierce,GA,13229
Screven,GA,13251
Tattnall,GA,13267
Toombs,GA,13279
Ware,GA,13299
Wayne,GA,13305
Decatur,GA,13087
Grady,GA,13131
Thomas,GA,13275
Acadia,LA,22001
Ascension,LA,22005
Assumption,LA,22007
Avoyelles,LA,22009
Beauregard,LA,22011
Calcasieu,LA,22019
Cameron,LA,22023
East Baton Rouge,LA,22033
East Feliciana,LA,22037
Evangeline,LA,22039
Iberia,LA,22045
Iberville,LA,22047
Jefferson,LA,22051
Jefferson Davis,LA,22053
Lafayette,LA,22055
Lafourche,LA,22057
Livingston,LA,22063
Orleans,LA,22071
Plaquemines,LA,22075
Pointe Coupee,LA,22077
Rapides,LA,22079
Sabine,LA,22085
St. Bernard,LA,22087
St. Charles,LA,22089
St. Helena,LA,22091
St. James,LA,22093
St. John the Baptist,LA,22095
St. Landry,LA,22097
St. Martin,LA,22099
St. Mary,LA,22101
St. Tammany,LA,22103
Tangipahoa,LA,22105
Terrebonne,LA,22109
Vermilion,LA,22113
Vernon,LA,22115
Washington,LA,22117
West Baton Rouge,LA,22121
West Feliciana,LA,22125
Barnstable,MA,25001
Berkshire,MA,25003
Bristol,MA,25005
Dukes,MA,25007
Essex,MA,25009
Hampden,MA,25013
Middlesex,MA,25017
Nantucket,MA,25019
Norfolk,MA,25021
Plymouth,MA,25023
Suffolk,MA,25025
Worcester,MA,25027
Anne Arundel,MD,24003
Baltimore,MD,24005
Calvert,MD,24009
Caroline,MD,24011
Carroll,MD,24013
Cecil,MD,24015
Charles,MD,24017
Dorchester,MD,24019
Harford,MD,24025
Howard,MD,24027
Kent,MD,24029
Montgomery,MD,24031
Prince George's,MD,24033
Queen Anne's,MD,24035
St. Mary's,MD,24037
Somerset,MD,24039
Talbot,MD,24041
Wicomico,MD,24045
Worcester,MD,24047
Baltimore city,MD,24510
Androscoggin,ME,23001
Cumberland,ME,23005
Franklin,ME,23007
Hancock,ME,23009
Kennebec,ME,23011
Knox,ME,23013
Lincoln,ME,23015
Oxford,ME,23017
Penobscot,ME,23019
Sagadahoc,ME,23023
Somerset,ME,23025
Waldo,ME,23027
Washington,ME,23029
York,ME,23031
Amite,MS,28005
George,MS,28039
Hancock,MS,28045
Harrison,MS,28047
Jackson,MS,28059
Lamar,MS,28073
Marion,MS,28091
Pearl River,MS,28109
Pike,MS,28113
Stone,MS,28131
Walthall,MS,28147
Wilkinson,MS,28157
Anson,NC,37007
Beaufort,NC,37013
Bertie,NC,37015
Bladen,NC,37017
Brunswick,NC,37019
Camden,NC,37029
Carteret,NC,37031
Chowan,NC,37041
Columbus,NC,37047
Craven,NC,37049
Cumberland,NC,37051
Currituck,NC,37053
Dare,NC,37055
Duplin,NC,37061
Edgecombe,NC,37065
Gates,NC,37073
Halifax,NC,37083
Hertford,NC,37091
Hyde,NC,37095
Jones,NC,37103
Lenoir,NC,37107
Martin,NC,37117
New Hanover,NC,37129
Northampton,NC,37131
Onslow,NC,37133
Pamlico,NC,37137
Pasquotank,NC,37139
Pender,NC,37141
Perquimans,NC,37143
Pitt,NC,37147
Richmond,NC,37153
Sampson,NC,37163
Scotland,NC,37165
Tyrrell,NC,37177
Washington,NC,37187
Wayne,NC,37191
Wilson,NC,37195
Belknap,NH,33001
Carroll,NH,33003
Hillsborough,NH,33011
Merrimack,NH,33013
Rockingham,NH,33015
Strafford,NH,33017
Atlantic,NJ,34001
Bergen,NJ,34003
Burlington,NJ,34005
Camden,NJ,34007
Cape May,NJ,34009
Cumberland,NJ,34011
Essex,NJ,34013
Gloucester,NJ,34015
Hudson,NJ,34017
Hunterdon,NJ,34019
Mercer,NJ,34021
Middlesex,NJ,34023
Monmouth,NJ,34025
Morris,NJ,34027
Ocean,NJ,34029
Passaic,NJ,34031
Salem,NJ,34033
Somerset,NJ,34035
Sussex,NJ,34037
Union,NJ,34039
Albany,NY,36001
Bronx,NY,36005
Columbia,NY,36021
Dutchess,NY,36027
Greene,NY,36039
Kings,NY,36047
Nassau,NY,36059
New York,NY,36061
Orange,NY,36071
Putnam,NY,36079
Queens,NY,36081
Rensselaer,NY,36083
Richmond,NY,36085
Rockland,NY,36087
Schenectady,NY,36093
